town,year,month,tmean_c,grid_lat,grid_lon
liwa,2012,12,25.076,-5.25,104.25
kepahiang,2012,12,23.326,-3.75,102.75
pagar_alam,2013,1,22.094,-4.25,103.25
lahat,2013,1,26.438,-3.75,103.75
muaradua,2013,1,24.562,-4.75,104.25
liwa,2013,1,24.594,-5.25,104.25
kepahiang,2013,1,23.344,-3.75,102.75
pagar_alam,2013,2,22.361,-4.25,103.25
lahat,2013,2,26.674,-3.75,103.75
muaradua,2013,2,24.674,-4.75,104.25
liwa,2013,2,24.642,-5.25,104.25
kepahiang,2013,2,23.642,-3.75,102.75
pagar_alam,2013,3,22.964,-4.25,103.25
lahat,2013,3,27.277,-3.75,103.75
muaradua,2013,3,25.62,-4.75,104.25
liwa,2013,3,25.683,-5.25,104.25
kepahiang,2013,3,23.995,-3.75,102.75
pagar_alam,2013,4,22.759,-4.25,103.25
lahat,2013,4,27.197,-3.75,103.75
muaradua,2013,4,25.478,-4.75,104.25
liwa,2013,4,25.478,-5.25,104.25
kepahiang,2013,4,23.947,-3.75,102.75
pagar_alam,2013,5,22.712,-4.25,103.25
lahat,2013,5,27.15,-3.75,103.75
muaradua,2013,5,25.212,-4.75,104.25
liwa,2013,5,25.181,-5.25,104.25
kepahiang,2013,5,23.962,-3.75,102.75
pagar_alam,2013,6,22.839,-4.25,103.25
lahat,2013,6,27.214,-3.75,103.75
muaradua,2013,6,25.527,-4.75,104.25
liwa,2013,6,25.558,-5.25,104.25
kepahiang,2013,6,23.777,-3.75,102.75
pagar_alam,2013,7,21.807,-4.25,103.25
lahat,2013,7,25.964,-3.75,103.75
muaradua,2013,7,24.214,-4.75,104.25
liwa,2013,7,24.245,-5.25,104.25
kepahiang,2013,7,22.682,-3.75,102.75
pagar_alam,2013,8,22.244,-4.25,103.25
lahat,2013,8,26.244,-3.75,103.75
muaradua,2013,8,24.619,-4.75,104.25
liwa,2013,8,24.713,-5.25,104.25
kepahiang,2013,8,22.807,-3.75,102.75
pagar_alam,2013,9,22.15,-4.25,103.25
lahat,2013,9,26.463,-3.75,103.75
muaradua,2013,9,24.869,-4.75,104.25
liwa,2013,9,24.931,-5.25,104.25
kepahiang,2013,9,22.994,-3.75,102.75
pagar_alam,2013,10,22.518,-4.25,103.25
lahat,2013,10,27.018,-3.75,103.75
muaradua,2013,10,25.518,-4.75,104.25
liwa,2013,10,25.611,-5.25,104.25
kepahiang,2013,10,23.393,-3.75,102.75
pagar_alam,2013,11,22.139,-4.25,103.25
lahat,2013,11,26.576,-3.75,103.75
muaradua,2013,11,24.92,-4.75,104.25
liwa,2013,11,24.982,-5.25,104.25
kepahiang,2013,11,23.107,-3.75,102.75
pagar_alam,2013,12,22.146,-4.25,103.25
lahat,2013,12,26.427,-3.75,103.75
muaradua,2013,12,24.646,-4.75,104.25
liwa,2013,12,24.677,-5.25,104.25
kepahiang,2013,12,23.24,-3.75,102.75
pagar_alam,2014,1,21.309,-4.25,103.25
lahat,2014,1,25.496,-3.75,103.75
muaradua,2014,1,23.184,-4.75,104.25
liwa,2014,1,23.059,-5.25,104.25
kepahiang,2014,1,22.84,-3.75,102.75
pagar_alam,2014,2,21.843,-4.25,103.25
lahat,2014,2,26.156,-3.75,103.75
muaradua,2014,2,23.687,-4.75,104.25
liwa,2014,2,23.5,-5.25,104.25
kepahiang,2014,2,23.343,-3.75,102.75
pagar_alam,2014,3,21.991,-4.25,103.25
lahat,2014,3,26.334,-3.75,103.75
muaradua,2014,3,24.084,-4.75,104.25
liwa,2014,3,23.959,-5.25,104.25
kepahiang,2014,3,23.334,-3.75,102.75
pagar_alam,2014,4,22.293,-4.25,103.25
lahat,2014,4,26.668,-3.75,103.75
muaradua,2014,4,24.481,-4.75,104.25
liwa,2014,4,24.324,-5.25,104.25
kepahiang,2014,4,23.668,-3.75,102.75
pagar_alam,2014,5,22.389,-4.25,103.25
lahat,2014,5,26.858,-3.75,103.75
muaradua,2014,5,24.608,-4.75,104.25
liwa,2014,5,24.421,-5.25,104.25
kepahiang,2014,5,23.858,-3.75,102.75
pagar_alam,2014,6,22.43,-4.25,103.25
lahat,2014,6,26.743,-3.75,103.75
muaradua,2014,6,24.524,-4.75,104.25
liwa,2014,6,24.368,-5.25,104.25
kepahiang,2014,6,23.68,-3.75,102.75
pagar_alam,2014,7,22.811,-4.25,103.25
lahat,2014,7,26.904,-3.75,103.75
muaradua,2014,7,24.436,-4.75,104.25
liwa,2014,7,24.186,-5.25,104.25
kepahiang,2014,7,23.998,-3.75,102.75
pagar_alam,2014,8,21.892,-4.25,103.25
lahat,2014,8,25.923,-3.75,103.75
muaradua,2014,8,23.673,-4.75,104.25
liwa,2014,8,23.517,-5.25,104.25
kepahiang,2014,8,22.735,-3.75,102.75
pagar_alam,2014,9,22.09,-4.25,103.25
lahat,2014,9,26.403,-3.75,103.75
muaradua,2014,9,24.184,-4.75,104.25
liwa,2014,9,23.997,-5.25,104.25
kepahiang,2014,9,23.184,-3.75,102.75
pagar_alam,2014,10,22.51,-4.25,103.25
lahat,2014,10,27.041,-3.75,103.75
muaradua,2014,10,25.041,-4.75,104.25
liwa,2014,10,24.916,-5.25,104.25
kepahiang,2014,10,23.604,-3.75,102.75
pagar_alam,2014,11,22.271,-4.25,103.25
lahat,2014,11,26.678,-3.75,103.75
muaradua,2014,11,24.646,-4.75,104.25
liwa,2014,11,24.553,-5.25,104.25
kepahiang,2014,11,23.396,-3.75,102.75
pagar_alam,2014,12,22.192,-4.25,103.25
lahat,2014,12,26.473,-3.75,103.75
muaradua,2014,12,24.317,-4.75,104.25
