town,date,precip_mm,grid_lat,grid_lon
pagar_alam,2005-03-21,10.648,-4.25,103.25
lahat,2005-03-21,9.209,-3.75,103.75
muaradua,2005-03-21,16.979,-4.75,104.25
liwa,2005-03-21,18.772,-5.25,104.25
kepahiang,2005-03-21,10.492,-3.75,102.75
pagar_alam,2005-03-22,101.117,-4.25,103.25
lahat,2005-03-22,71.769,-3.75,103.75
muaradua,2005-03-22,57.301,-4.75,104.25
liwa,2005-03-22,55.653,-5.25,104.25
kepahiang,2005-03-22,105.718,-3.75,102.75
pagar_alam,2005-03-23,2.664,-4.25,103.25
lahat,2005-03-23,7.092,-3.75,103.75
muaradua,2005-03-23,2.461,-4.75,104.25
liwa,2005-03-23,0.88,-5.25,104.25
kepahiang,2005-03-23,2.175,-3.75,102.75
pagar_alam,2005-03-24,0.16,-4.25,103.25
lahat,2005-03-24,0.174,-3.75,103.75
muaradua,2005-03-24,7.008,-4.75,104.25
liwa,2005-03-24,9.941,-5.25,104.25
kepahiang,2005-03-24,0.027,-3.75,102.75
pagar_alam,2005-03-25,3.169,-4.25,103.25
lahat,2005-03-25,28.171,-3.75,103.75
muaradua,2005-03-25,6.017,-4.75,104.25
liwa,2005-03-25,0.629,-5.25,104.25
kepahiang,2005-03-25,0.445,-3.75,102.75
pagar_alam,2005-03-26,0.127,-4.25,103.25
lahat,2005-03-26,1.426,-3.75,103.75
muaradua,2005-03-26,0.13,-4.75,104.25
liwa,2005-03-26,0.0,-5.25,104.25
kepahiang,2005-03-26,0.021,-3.75,102.75
pagar_alam,2005-03-27,36.663,-4.25,103.25
lahat,2005-03-27,27.678,-3.75,103.75
muaradua,2005-03-27,23.756,-4.75,104.25
liwa,2005-03-27,23.659,-5.25,104.25
kepahiang,2005-03-27,38.302,-3.75,102.75
pagar_alam,2005-03-28,0.589,-4.25,103.25
lahat,2005-03-28,2.883,-3.75,103.75
muaradua,2005-03-28,0.418,-4.75,104.25
liwa,2005-03-28,0.056,-5.25,104.25
kepahiang,2005-03-28,0.469,-3.75,102.75
pagar_alam,2005-03-29,0.647,-4.25,103.25
lahat,2005-03-29,4.307,-3.75,103.75
muaradua,2005-03-29,3.255,-4.75,104.25
liwa,2005-03-29,2.877,-5.25,104.25
kepahiang,2005-03-29,0.069,-3.75,102.75
pagar_alam,2005-03-30,27.182,-4.25,103.25
lahat,2005-03-30,19.616,-3.75,103.75
muaradua,2005-03-30,7.682,-4.75,104.25
liwa,2005-03-30,6.28,-5.25,104.25
kepahiang,2005-03-30,29.28,-3.75,102.75
pagar_alam,2005-03-31,50.531,-4.25,103.25
lahat,2005-03-31,35.903,-3.75,103.75
muaradua,2005-03-31,8.537,-4.75,104.25
liwa,2005-03-31,4.126,-5.25,104.25
kepahiang,2005-03-31,54.225,-3.75,102.75
pagar_alam,2005-04-01,0.0,-4.25,103.25
lahat,2005-04-01,0.0,-3.75,103.75
muaradua,2005-04-01,0.0,-4.75,104.25
liwa,2005-04-01,0.0,-5.25,104.25
kepahiang,2005-04-01,0.0,-3.75,102.75
pagar_alam,2005-04-02,2.715,-4.25,103.25
lahat,2005-04-02,3.328,-3.75,103.75
muaradua,2005-04-02,27.829,-4.75,104.25
liwa,2005-04-02,32.34,-5.25,104.25
kepahiang,2005-04-02,0.631,-3.75,102.75
pagar_alam,2005-04-03,4.267,-4.25,103.25
lahat,2005-04-03,22.747,-3.75,103.75
muaradua,2005-04-03,7.705,-4.75,104.25
liwa,2005-04-03,4.243,-5.25,104.25
kepahiang,2005-04-03,2.38,-3.75,102.75
pagar_alam,2005-04-04,4.838,-4.25,103.25
lahat,2005-04-04,3.425,-3.75,103.75
muaradua,2005-04-04,0.769,-4.75,104.25
liwa,2005-04-04,0.323,-5.25,104.25
kepahiang,2005-04-04,5.21,-3.75,102.75
pagar_alam,2005-04-05,0.0,-4.25,103.25
lahat,2005-04-05,0.024,-3.75,103.75
muaradua,2005-04-05,0.021,-4.75,104.25
liwa,2005-04-05,0.0,-5.25,104.25
kepahiang,2005-04-05,0.0,-3.75,102.75
pagar_alam,2005-04-06,3.976,-4.25,103.25
lahat,2005-04-06,34.703,-3.75,103.75
muaradua,2005-04-06,7.589,-4.75,104.25
liwa,2005-04-06,3.517,-5.25,104.25
kepahiang,2005-04-06,0.767,-3.75,102.75
pagar_alam,2005-04-07,0.0,-4.25,103.25
lahat,2005-04-07,0.0,-3.75,103.75
muaradua,2005-04-07,0.0,-4.75,104.25
liwa,2005-04-07,0.0,-5.25,104.25
kepahiang,2005-04-07,0.0,-3.75,102.75
pagar_alam,2005-04-08,0.961,-4.25,103.25
lahat,2005-04-08,0.564,-3.75,103.75
muaradua,2005-04-08,0.157,-4.75,104.25
liwa,2005-04-08,0.101,-5.25,104.25
kepahiang,2005-04-08,1.03,-3.75,102.75
pagar_alam,2005-04-09,12.639,-4.25,103.25
lahat,2005-04-09,8.987,-3.75,103.75
muaradua,2005-04-09,2.04,-4.75,104.25
liwa,2005-04-09,0.788,-5.25,104.25
kepahiang,2005-04-09,13.557,-3.75,102.75
pagar_alam,2005-04-10,0.299,-4.25,103.25
lahat,2005-04-10,0.651,-3.75,103.75
muaradua,2005-04-10,0.299,-4.75,104.25
liwa,2005-04-10,0.159,-5.25,104.25
