town,date,tmin_c,grid_lat,grid_lon
kepahiang,2005-03-29,18.759,-3.75,102.75
pagar_alam,2005-03-30,17.361,-4.25,103.25
lahat,2005-03-30,22.012,-3.75,103.75
muaradua,2005-03-30,19.615,-4.75,104.25
liwa,2005-03-30,20.118,-5.25,104.25
kepahiang,2005-03-30,20.197,-3.75,102.75
pagar_alam,2005-03-31,15.655,-4.25,103.25
lahat,2005-03-31,21.114,-3.75,103.75
muaradua,2005-03-31,19.112,-4.75,104.25
liwa,2005-03-31,19.659,-5.25,104.25
kepahiang,2005-03-31,18.202,-3.75,102.75
pagar_alam,2005-04-01,16.71,-4.25,103.25
lahat,2005-04-01,21.452,-3.75,103.75
muaradua,2005-04-01,20.421,-4.75,104.25
liwa,2005-04-01,20.766,-5.25,104.25
kepahiang,2005-04-01,18.589,-3.75,102.75
pagar_alam,2005-04-02,21.781,-4.25,103.25
lahat,2005-04-02,27.153,-3.75,103.75
muaradua,2005-04-02,26.194,-4.75,104.25
liwa,2005-04-02,26.509,-5.25,104.25
kepahiang,2005-04-02,23.536,-3.75,102.75
pagar_alam,2005-04-03,16.783,-4.25,103.25
lahat,2005-04-03,21.514,-3.75,103.75
muaradua,2005-04-03,20.579,-4.75,104.25
liwa,2005-04-03,20.943,-5.25,104.25
kepahiang,2005-04-03,18.629,-3.75,102.75
pagar_alam,2005-04-04,16.523,-4.25,103.25
lahat,2005-04-04,20.802,-3.75,103.75
muaradua,2005-04-04,19.91,-4.75,104.25
liwa,2005-04-04,20.342,-5.25,104.25
kepahiang,2005-04-04,18.488,-3.75,102.75
pagar_alam,2005-04-05,17.374,-4.25,103.25
lahat,2005-04-05,21.279,-3.75,103.75
muaradua,2005-04-05,20.178,-4.75,104.25
liwa,2005-04-05,20.587,-5.25,104.25
kepahiang,2005-04-05,19.676,-3.75,102.75
pagar_alam,2005-04-06,18.157,-4.25,103.25
lahat,2005-04-06,22.583,-3.75,103.75
muaradua,2005-04-06,20.778,-4.75,104.25
liwa,2005-04-06,20.927,-5.25,104.25
kepahiang,2005-04-06,20.159,-3.75,102.75
pagar_alam,2005-04-07,19.539,-4.25,103.25
lahat,2005-04-07,22.137,-3.75,103.75
muaradua,2005-04-07,20.745,-4.75,104.25
liwa,2005-04-07,21.137,-5.25,104.25
kepahiang,2005-04-07,22.169,-3.75,102.75
pagar_alam,2005-04-08,16.302,-4.25,103.25
lahat,2005-04-08,20.739,-3.75,103.75
muaradua,2005-04-08,20.762,-4.75,104.25
liwa,2005-04-08,21.413,-5.25,104.25
kepahiang,2005-04-08,18.183,-3.75,102.75
pagar_alam,2005-04-09,17.547,-4.25,103.25
lahat,2005-04-09,22.205,-3.75,103.75
muaradua,2005-04-09,21.055,-4.75,104.25
liwa,2005-04-09,21.318,-5.25,104.25
kepahiang,2005-04-09,19.602,-3.75,102.75
pagar_alam,2005-04-10,17.333,-4.25,103.25
lahat,2005-04-10,22.338,-3.75,103.75
muaradua,2005-04-10,21.277,-4.75,104.25
liwa,2005-04-10,21.467,-5.25,104.25
kepahiang,2005-04-10,19.114,-3.75,102.75
pagar_alam,2005-04-11,17.165,-4.25,103.25
lahat,2005-04-11,21.419,-3.75,103.75
muaradua,2005-04-11,20.235,-4.75,104.25
liwa,2005-04-11,20.546,-5.25,104.25
kepahiang,2005-04-11,19.198,-3.75,102.75
pagar_alam,2005-04-12,19.958,-4.25,103.25
lahat,2005-04-12,23.014,-3.75,103.75
muaradua,2005-04-12,21.117,-4.75,104.25
liwa,2005-04-12,21.344,-5.25,104.25
kepahiang,2005-04-12,22.365,-3.75,102.75
pagar_alam,2005-04-13,17.727,-4.25,103.25
lahat,2005-04-13,23.069,-3.75,103.75
muaradua,2005-04-13,21.082,-4.75,104.25
liwa,2005-04-13,21.116,-5.25,104.25
kepahiang,2005-04-13,19.466,-3.75,102.75
pagar_alam,2005-04-14,18.174,-4.25,103.25
lahat,2005-04-14,22.763,-3.75,103.75
muaradua,2005-04-14,21.314,-4.75,104.25
liwa,2005-04-14,21.525,-5.25,104.25
kepahiang,2005-04-14,20.313,-3.75,102.75
pagar_alam,2005-04-15,19.176,-4.25,103.25
lahat,2005-04-15,22.464,-3.75,103.75
muaradua,2005-04-15,20.962,-4.75,104.25
liwa,2005-04-15,21.185,-5.25,104.25
kepahiang,2005-04-15,21.431,-3.75,102.75
pagar_alam,2005-04-16,17.735,-4.25,103.25
lahat,2005-04-16,22.03,-3.75,103.75
muaradua,2005-04-16,20.857,-4.75,104.25
liwa,2005-04-16,21.186,-5.25,104.25
kepahiang,2005-04-16,19.905,-3.75,102.75
pagar_alam,2005-04-17,17.741,-4.25,103.25
lahat,2005-04-17,22.144,-3.75,103.75
muaradua,2005-04-17,20.481,-4.75,104.25
liwa,2005-04-17,20.725,-5.25,104.25
kepahiang,2005-04-17,19.966,-3.75,102.75
pagar_alam,2005-04-18,18.234,-4.25,103.25
lahat,2005-04-18,22.358,-3.75,103.75
muaradua,2005-04-18,20.664,-4.75,104.25
liwa,2005-04-18,20.798,-5.25,104.25
kepahiang,2005-04-18,20.295,-3.75,102.75
pagar_alam,2005-04-19,17.158,-4.25,103.25
lahat,2005-04-19,21.922,-3.75,103.75
muaradua,2005-04-19,20.644,-4.75,104.25
