town,date,tmax_c,grid_lat,grid_lon
pagar_alam,2005-03-08,29.557,-4.25,103.25
lahat,2005-03-08,32.364,-3.75,103.75
muaradua,2005-03-08,30.448,-4.75,104.25
liwa,2005-03-08,29.426,-5.25,104.25
kepahiang,2005-03-08,30.544,-3.75,102.75
pagar_alam,2005-03-09,28.69,-4.25,103.25
lahat,2005-03-09,32.102,-3.75,103.75
muaradua,2005-03-09,30.475,-4.75,104.25
liwa,2005-03-09,29.401,-5.25,104.25
kepahiang,2005-03-09,29.518,-3.75,102.75
pagar_alam,2005-03-10,28.669,-4.25,103.25
lahat,2005-03-10,32.085,-3.75,103.75
muaradua,2005-03-10,30.385,-4.75,104.25
liwa,2005-03-10,29.419,-5.25,104.25
kepahiang,2005-03-10,29.751,-3.75,102.75
pagar_alam,2005-03-11,28.123,-4.25,103.25
lahat,2005-03-11,31.895,-3.75,103.75
muaradua,2005-03-11,31.047,-4.75,104.25
liwa,2005-03-11,30.254,-5.25,104.25
kepahiang,2005-03-11,29.001,-3.75,102.75
pagar_alam,2005-03-12,28.983,-4.25,103.25
lahat,2005-03-12,32.431,-3.75,103.75
muaradua,2005-03-12,31.194,-4.75,104.25
liwa,2005-03-12,30.363,-5.25,104.25
kepahiang,2005-03-12,29.932,-3.75,102.75
pagar_alam,2005-03-13,28.675,-4.25,103.25
lahat,2005-03-13,32.228,-3.75,103.75
muaradua,2005-03-13,27.508,-4.75,104.25
liwa,2005-03-13,25.956,-5.25,104.25
kepahiang,2005-03-13,30.078,-3.75,102.75
pagar_alam,2005-03-14,28.042,-4.25,103.25
lahat,2005-03-14,31.705,-3.75,103.75
muaradua,2005-03-14,30.293,-4.75,104.25
liwa,2005-03-14,29.395,-5.25,104.25
kepahiang,2005-03-14,28.832,-3.75,102.75
pagar_alam,2005-03-15,28.071,-4.25,103.25
lahat,2005-03-15,32.034,-3.75,103.75
muaradua,2005-03-15,29.703,-4.75,104.25
liwa,2005-03-15,28.607,-5.25,104.25
kepahiang,2005-03-15,28.903,-3.75,102.75
pagar_alam,2005-03-16,28.812,-4.25,103.25
lahat,2005-03-16,31.969,-3.75,103.75
muaradua,2005-03-16,30.768,-4.75,104.25
liwa,2005-03-16,29.967,-5.25,104.25
kepahiang,2005-03-16,29.931,-3.75,102.75
pagar_alam,2005-03-17,28.099,-4.25,103.25
lahat,2005-03-17,31.464,-3.75,103.75
muaradua,2005-03-17,30.205,-4.75,104.25
liwa,2005-03-17,29.363,-5.25,104.25
kepahiang,2005-03-17,28.935,-3.75,102.75
pagar_alam,2005-03-18,28.392,-4.25,103.25
lahat,2005-03-18,31.1,-3.75,103.75
muaradua,2005-03-18,29.399,-4.75,104.25
liwa,2005-03-18,28.359,-5.25,104.25
kepahiang,2005-03-18,29.386,-3.75,102.75
pagar_alam,2005-03-19,26.745,-4.25,103.25
lahat,2005-03-19,30.668,-3.75,103.75
muaradua,2005-03-19,30.246,-4.75,104.25
liwa,2005-03-19,29.519,-5.25,104.25
kepahiang,2005-03-19,27.383,-3.75,102.75
pagar_alam,2005-03-20,27.819,-4.25,103.25
lahat,2005-03-20,30.662,-3.75,103.75
muaradua,2005-03-20,28.793,-4.75,104.25
liwa,2005-03-20,27.848,-5.25,104.25
kepahiang,2005-03-20,29.098,-3.75,102.75
pagar_alam,2005-03-21,26.633,-4.25,103.25
lahat,2005-03-21,29.688,-3.75,103.75
muaradua,2005-03-21,29.344,-4.75,104.25
liwa,2005-03-21,28.764,-5.25,104.25
kepahiang,2005-03-21,27.391,-3.75,102.75
pagar_alam,2005-03-22,27.88,-4.25,103.25
lahat,2005-03-22,30.934,-3.75,103.75
muaradua,2005-03-22,30.278,-4.75,104.25
liwa,2005-03-22,29.555,-5.25,104.25
kepahiang,2005-03-22,28.8,-3.75,102.75
pagar_alam,2005-03-23,26.586,-4.25,103.25
lahat,2005-03-23,30.072,-3.75,103.75
muaradua,2005-03-23,30.011,-4.75,104.25
liwa,2005-03-23,29.352,-5.25,104.25
kepahiang,2005-03-23,27.475,-3.75,102.75
pagar_alam,2005-03-24,28.476,-4.25,103.25
lahat,2005-03-24,31.305,-3.75,103.75
muaradua,2005-03-24,30.006,-4.75,104.25
liwa,2005-03-24,29.213,-5.25,104.25
kepahiang,2005-03-24,29.692,-3.75,102.75
pagar_alam,2005-03-25,28.455,-4.25,103.25
lahat,2005-03-25,31.976,-3.75,103.75
muaradua,2005-03-25,31.041,-4.75,104.25
liwa,2005-03-25,30.213,-5.25,104.25
kepahiang,2005-03-25,29.222,-3.75,102.75
pagar_alam,2005-03-26,26.062,-4.25,103.25
lahat,2005-03-26,29.604,-3.75,103.75
muaradua,2005-03-26,27.274,-4.75,104.25
liwa,2005-03-26,26.161,-5.25,104.25
kepahiang,2005-03-26,27.056,-3.75,102.75
pagar_alam,2005-03-27,27.998,-4.25,103.25
lahat,2005-03-27,31.355,-3.75,103.75
muaradua,2005-03-27,29.199,-4.75,104.25
liwa,2005-03-27,28.192,-5.25,104.25
kepahiang,2005-03-27,29.156,-3.75,102.75
pagar_alam,2005-03-28,27.672,-4.25,103.25
lahat,2005-03-28,31.521,-3.75,103.75
muaradua,2005-03-28,29.527,-4.75,104.25
liwa,2005-03-28,28.523,-5.25,104.25
kepahiang,2005-03-28,28.522,-3.75,102.75
pagar_alam,2005-03-29,26.563,-4.25,103.25
lahat,2005-03-29,30.669,-3.75,103.75
muaradua,2005-03-29,29.933,-4.75,104.25
liwa,2005-03-29,29.151,-5.25,104.25
kepahiang,2005-03-29,27.317,-3.75,102.75
pagar_alam,2005-03-30,26.423,-4.25,103.25
lahat,2005-03-30,30.512,-3.75,103.75
muaradua,2005-03-30,29.619,-4.75,104.25
liwa,2005-03-30,28.856,-5.25,104.25
kepahiang,2005-03-30,27.262,-3.75,102.75
pagar_alam,2005-03-31,25.391,-4.25,103.25
lahat,2005-03-31,30.008,-3.75,103.75
muaradua,2005-03-31,29.219,-4.75,104.25
liwa,2005-03-31,28.419,-5.25,104.25
kepahiang,2005-03-31,25.949,-3.75,102.75
pagar_alam,2005-04-01,27.943,-4.25,103.25
lahat,2005-04-01,31.733,-3.75,103.75
muaradua,2005-04-01,29.893,-4.75,104.25
liwa,2005-04-01,28.684,-5.25,104.25
kepahiang,2005-04-01,28.965,-3.75,102.75
pagar_alam,2005-04-02,28.646,-4.25,103.25
lahat,2005-04-02,32.396,-3.75,103.75
muaradua,2005-04-02,30.202,-4.75,104.25
liwa,2005-04-02,28.922,-5.25,104.25
kepahiang,2005-04-02,29.88,-3.75,102.75
pagar_alam,2005-04-03,29.115,-4.25,103.25
lahat,2005-04-03,32.108,-3.75,103.75
muaradua,2005-04-03,30.175,-4.75,104.25
liwa,2005-04-03,29.009,-5.25,104.25
kepahiang,2005-04-03,30.323,-3.75,102.75
pagar_alam,2005-04-04,29.221,-4.25,103.25
lahat,2005-04-04,30.53,-3.75,103.75
muaradua,2005-04-04,29.548,-4.75,104.25
liwa,2005-04-04,28.708,-5.25,104.25
kepahiang,2005-04-04,30.88,-3.75,102.75
pagar_alam,2005-04-05,29.975,-4.25,103.25
lahat,2005-04-05,33.028,-3.75,103.75
muaradua,2005-04-05,31.142,-4.75,104.25
liwa,2005-04-05,29.92,-5.25,104.25
kepahiang,2005-04-05,31.219,-3.75,102.75
pagar_alam,2005-04-06,29.841,-4.25,103.25
lahat,2005-04-06,32.266,-3.75,103.75
muaradua,2005-04-06,30.959,-4.75,104.25
liwa,2005-04-06,30.049,-5.25,104.25
kepahiang,2005-04-06,31.143,-3.75,102.75
pagar_alam,2005-04-07,28.831,-4.25,103.25
lahat,2005-04-07,32.317,-3.75,103.75
muaradua,2005-04-07,30.964,-4.75,104.25
liwa,2005-04-07,29.912,-5.25,104.25
kepahiang,2005-04-07,29.844,-3.75,102.75
pagar_alam,2005-04-08,29.333,-4.25,103.25
lahat,2005-04-08,33.277,-3.75,103.75
muaradua,2005-04-08,31.131,-4.75,104.25
liwa,2005-04-08,29.954,-5.25,104.25
kepahiang,2005-04-08,30.337,-3.75,102.75
pagar_alam,2005-04-09,28.145,-4.25,103.25
lahat,2005-04-09,31.646,-3.75,103.75
muaradua,2005-04-09,31.262,-4.75,104.25
liwa,2005-04-09,30.474,-5.25,104.25
kepahiang,2005-04-09,29.242,-3.75,102.75
pagar_alam,2005-04-10,28.178,-4.25,103.25
lahat,2005-04-10,31.956,-3.75,103.75
muaradua,2005-04-10,31.482,-4.75,104.25
liwa,2005-04-10,30.656,-5.25,104.25
kepahiang,2005-04-10,29.03,-3.75,102.75
pagar_alam,2005-04-11,28.306,-4.25,103.25
lahat,2005-04-11,31.338,-3.75,103.75
muaradua,2005-04-11,31.523,-4.75,104.25
liwa,2005-04-11,30.824,-5.25,104.25
kepahiang,2005-04-11,29.351,-3.75,102.75
pagar_alam,2005-04-12,27.641,-4.25,103.25
lahat,2005-04-12,31.019,-3.75,103.75
muaradua,2005-04-12,31.197,-4.75,104.25
liwa,2005-04-12,30.489,-5.25,104.25
kepahiang,2005-04-12,28.718,-3.75,102.75
pagar_alam,2005-04-13,27.975,-4.25,103.25
lahat,2005-04-13,31.077,-3.75,103.75
muaradua,2005-04-13,29.595,-4.75,104.25
liwa,2005-04-13,28.582,-5.25,104.25
kepahiang,2005-04-13,29.163,-3.75,102.75
pagar_alam,2005-04-14,27.758,-4.25,103.25
lahat,2005-04-14,30.133,-3.75,103.75
muaradua,2005-04-14,27.914,-4.75,104.25
liwa,2005-04-14,26.835,-5.25,104.25
kepahiang,2005-04-14,29.415,-3.75,102.75
pagar_alam,2005-04-15,28.97,-4.25,103.25
lahat,2005-04-15,32.564,-3.75,103.75
muaradua,2005-04-15,31.262,-4.75,104.25
liwa,2005-04-15,30.084,-5.25,104.25
kepahiang,2005-04-15,29.884,-3.75,102.75
pagar_alam,2005-04-16,28.228,-4.25,103.25
lahat,2005-04-16,32.173,-3.75,103.75
muaradua,2005-04-16,30.604,-4.75,104.25
liwa,2005-04-16,29.436,-5.25,104.25
kepahiang,2005-04-16,29.124,-3.75,102.75
pagar_alam,2005-04-17,28.306,-4.25,103.25
lahat,2005-04-17,31.612,-3.75,103.75
muaradua,2005-04-17,30.677,-4.75,104.25
liwa,2005-04-17,29.718,-5.25,104.25
kepahiang,2005-04-17,29.54,-3.75,102.75
pagar_alam,2005-04-18,28.692,-4.25,103.25
lahat,2005-04-18,31.48,-3.75,103.75
muaradua,2005-04-18,30.804,-4.75,104.25
liwa,2005-04-18,29.948,-5.25,104.25
kepahiang,2005-04-18,29.937,-3.75,102.75
pagar_alam,2005-04-19,28.082,-4.25,103.25
lahat,2005-04-19,30.468,-3.75,103.75
muaradua,2005-04-19,30.206,-4.75,104.25
liwa,2005-04-19,29.506,-5.25,104.25
kepahiang,2005-04-19,29.532,-3.75,102.75
pagar_alam,2005-04-20,29.106,-4.25,103.25
lahat,2005-04-20,31.256,-3.75,103.75
muaradua,2005-04-20,28.738,-4.75,104.25
liwa,2005-04-20,27.48,-5.25,104.25
kepahiang,2005-04-20,30.627,-3.75,102.75
pagar_alam,2005-04-21,28.881,-4.25,103.25
