key,year,month,rain_mm,n_days
el_paraiso_danli,2015,7,74.6,31
el_paraiso_danli,2015,8,58.1,31
el_paraiso_danli,2015,9,146.1,30
el_paraiso_danli,2015,10,165.3,31
el_paraiso_danli,2015,11,95.1,30
el_paraiso_danli,2015,12,32.8,31
el_paraiso_danli,2016,1,5.1,31
el_paraiso_danli,2016,2,5.2,29
el_paraiso_danli,2016,3,32.6,31
el_paraiso_danli,2016,4,37.2,30
el_paraiso_danli,2016,5,79.6,31
el_paraiso_danli,2016,6,174.6,30
el_paraiso_danli,2016,7,135.1,31
el_paraiso_danli,2016,8,158.5,31
el_paraiso_danli,2016,9,120.2,30
el_paraiso_danli,2016,10,203.1,31
el_paraiso_danli,2016,11,102.2,30
el_paraiso_danli,2016,12,62.8,31
el_paraiso_danli,2017,1,7.6,31
el_paraiso_danli,2017,2,9.2,28
el_paraiso_danli,2017,3,16.2,31
el_paraiso_danli,2017,4,56.2,30
el_paraiso_danli,2017,5,196.7,31
el_paraiso_danli,2017,6,208.4,30
el_paraiso_danli,2017,7,163.6,31
el_paraiso_danli,2017,8,109.3,31
el_paraiso_danli,2017,9,241.1,30
el_paraiso_danli,2017,10,376.0,31
el_paraiso_danli,2017,11,34.6,30
el_paraiso_danli,2017,12,56.7,31
el_paraiso_danli,2018,1,27.0,31
el_paraiso_danli,2018,2,28.3,28
el_paraiso_danli,2018,3,4.0,31
el_paraiso_danli,2018,4,43.7,30
el_paraiso_danli,2018,5,357.8,31
el_paraiso_danli,2018,6,152.2,30
el_paraiso_danli,2018,7,47.8,31
el_paraiso_danli,2018,8,87.0,31
el_paraiso_danli,2018,9,120.5,30
el_paraiso_danli,2018,10,223.2,31
el_paraiso_danli,2018,11,21.4,30
el_paraiso_danli,2018,12,9.8,31
el_paraiso_danli,2019,1,9.7,31
el_paraiso_danli,2019,2,3.2,28
el_paraiso_danli,2019,3,4.0,31
el_paraiso_danli,2019,4,31.4,30
el_paraiso_danli,2019,5,235.4,31
el_paraiso_danli,2019,6,100.4,30
el_paraiso_danli,2019,7,44.4,31
el_paraiso_danli,2019,8,62.4,31
el_paraiso_danli,2019,9,249.5,30
el_paraiso_danli,2019,10,159.2,31
el_paraiso_danli,2019,11,36.9,30
el_paraiso_danli,2019,12,11.6,31
el_paraiso_danli,2020,1,28.4,31
el_paraiso_danli,2020,2,8.4,29
el_paraiso_danli,2020,3,7.2,31
el_paraiso_danli,2020,4,1.3,30
el_paraiso_danli,2020,5,261.3,31
el_paraiso_danli,2020,6,189.5,30
el_paraiso_danli,2020,7,92.5,31
el_paraiso_danli,2020,8,183.6,31
el_paraiso_danli,2020,9,149.2,30
el_paraiso_danli,2020,10,304.2,31
el_paraiso_danli,2020,11,319.6,30
el_paraiso_danli,2020,12,10.4,31
el_paraiso_danli,2021,1,21.0,31
el_paraiso_danli,2021,2,16.2,28
el_paraiso_danli,2021,3,36.0,31
el_paraiso_danli,2021,4,29.8,30
el_paraiso_danli,2021,5,31.0,31
el_paraiso_danli,2021,6,162.8,30
el_paraiso_danli,2021,7,89.3,31
el_paraiso_danli,2021,8,138.7,31
el_paraiso_danli,2021,9,90.7,30
el_paraiso_danli,2021,10,114.8,31
el_paraiso_danli,2021,11,21.8,30
el_paraiso_danli,2021,12,25.6,31
el_paraiso_danli,2022,1,14.0,31
el_paraiso_danli,2022,2,18.8,28
el_paraiso_danli,2022,3,15.0,31
el_paraiso_danli,2022,4,74.7,30
el_paraiso_danli,2022,5,251.4,31
el_paraiso_danli,2022,6,189.0,30
el_paraiso_danli,2022,7,99.8,31
el_paraiso_danli,2022,8,211.6,31
el_paraiso_danli,2022,9,349.6,30
el_paraiso_danli,2022,10,198.2,31
el_paraiso_danli,2022,11,87.8,30
el_paraiso_danli,2022,12,19.3,31
el_paraiso_danli,2023,1,14.8,31
el_paraiso_danli,2023,2,12.0,28
el_paraiso_danli,2023,3,23.4,31
el_paraiso_danli,2023,4,8.1,30
el_paraiso_danli,2023,5,88.5,31
el_paraiso_danli,2023,6,255.3,30
el_paraiso_danli,2023,7,171.5,31
el_paraiso_danli,2023,8,133.7,31
