town,date,tmax_c,grid_lat,grid_lon
copan,2005-05-16,26.615,14.75,271.25
comayagua,2005-05-17,27.487,14.25,272.25
ocotepeque,2005-05-17,27.304,14.25,270.75
copan,2005-05-17,26.867,14.75,271.25
comayagua,2005-05-18,25.683,14.25,272.25
ocotepeque,2005-05-18,26.475,14.25,270.75
copan,2005-05-18,26.547,14.75,271.25
comayagua,2005-05-19,20.866,14.25,272.25
ocotepeque,2005-05-19,22.243,14.25,270.75
copan,2005-05-19,19.71,14.75,271.25
comayagua,2005-05-20,23.263,14.25,272.25
ocotepeque,2005-05-20,24.281,14.25,270.75
copan,2005-05-20,22.046,14.75,271.25
comayagua,2005-05-21,26.96,14.25,272.25
ocotepeque,2005-05-21,28.566,14.25,270.75
copan,2005-05-21,25.978,14.75,271.25
comayagua,2005-05-22,26.714,14.25,272.25
ocotepeque,2005-05-22,27.904,14.25,270.75
copan,2005-05-22,26.391,14.75,271.25
comayagua,2005-05-23,29.446,14.25,272.25
ocotepeque,2005-05-23,28.529,14.25,270.75
copan,2005-05-23,28.738,14.75,271.25
comayagua,2005-05-24,29.254,14.25,272.25
ocotepeque,2005-05-24,29.541,14.25,270.75
copan,2005-05-24,30.867,14.75,271.25
comayagua,2005-05-25,28.132,14.25,272.25
ocotepeque,2005-05-25,30.919,14.25,270.75
copan,2005-05-25,30.093,14.75,271.25
comayagua,2005-05-26,29.745,14.25,272.25
ocotepeque,2005-05-26,31.139,14.25,270.75
copan,2005-05-26,28.868,14.75,271.25
comayagua,2005-05-27,28.946,14.25,272.25
ocotepeque,2005-05-27,29.692,14.25,270.75
copan,2005-05-27,26.614,14.75,271.25
comayagua,2005-05-28,29.696,14.25,272.25
ocotepeque,2005-05-28,30.049,14.25,270.75
copan,2005-05-28,29.506,14.75,271.25
comayagua,2005-05-29,29.498,14.25,272.25
ocotepeque,2005-05-29,31.328,14.25,270.75
copan,2005-05-29,28.175,14.75,271.25
comayagua,2005-05-30,29.138,14.25,272.25
ocotepeque,2005-05-30,30.905,14.25,270.75
copan,2005-05-30,27.998,14.75,271.25
comayagua,2005-05-31,30.551,14.25,272.25
ocotepeque,2005-05-31,32.441,14.25,270.75
copan,2005-05-31,30.122,14.75,271.25
comayagua,2005-06-01,28.521,14.25,272.25
ocotepeque,2005-06-01,30.014,14.25,270.75
copan,2005-06-01,28.268,14.75,271.25
comayagua,2005-06-02,28.889,14.25,272.25
ocotepeque,2005-06-02,29.424,14.25,270.75
copan,2005-06-02,29.446,14.75,271.25
comayagua,2005-06-03,28.343,14.25,272.25
ocotepeque,2005-06-03,29.889,14.25,270.75
copan,2005-06-03,27.897,14.75,271.25
comayagua,2005-06-04,28.924,14.25,272.25
ocotepeque,2005-06-04,30.194,14.25,270.75
copan,2005-06-04,30.267,14.75,271.25
comayagua,2005-06-05,27.077,14.25,272.25
ocotepeque,2005-06-05,28.976,14.25,270.75
copan,2005-06-05,28.837,14.75,271.25
comayagua,2005-06-06,25.884,14.25,272.25
ocotepeque,2005-06-06,26.398,14.25,270.75
copan,2005-06-06,25.462,14.75,271.25
comayagua,2005-06-07,27.295,14.25,272.25
ocotepeque,2005-06-07,28.0,14.25,270.75
copan,2005-06-07,26.536,14.75,271.25
comayagua,2005-06-08,28.183,14.25,272.25
ocotepeque,2005-06-08,29.575,14.25,270.75
copan,2005-06-08,26.928,14.75,271.25
comayagua,2005-06-09,28.256,14.25,272.25
ocotepeque,2005-06-09,30.128,14.25,270.75
copan,2005-06-09,28.384,14.75,271.25
comayagua,2005-06-10,28.279,14.25,272.25
ocotepeque,2005-06-10,28.818,14.25,270.75
copan,2005-06-10,27.526,14.75,271.25
comayagua,2005-06-11,27.751,14.25,272.25
ocotepeque,2005-06-11,28.378,14.25,270.75
