town,date,precip_mm,grid_lat,grid_lon
copan,2005-05-16,0.0,14.75,271.25
comayagua,2005-05-17,0.039,14.25,272.25
ocotepeque,2005-05-17,0.368,14.25,270.75
copan,2005-05-17,0.068,14.75,271.25
comayagua,2005-05-18,10.644,14.25,272.25
ocotepeque,2005-05-18,0.262,14.25,270.75
copan,2005-05-18,0.194,14.75,271.25
comayagua,2005-05-19,9.082,14.25,272.25
ocotepeque,2005-05-19,3.582,14.25,270.75
copan,2005-05-19,1.37,14.75,271.25
comayagua,2005-05-20,43.243,14.25,272.25
ocotepeque,2005-05-20,4.932,14.25,270.75
copan,2005-05-20,7.815,14.75,271.25
comayagua,2005-05-21,0.57,14.25,272.25
ocotepeque,2005-05-21,0.0,14.25,270.75
copan,2005-05-21,0.038,14.75,271.25
comayagua,2005-05-22,0.0,14.25,272.25
ocotepeque,2005-05-22,0.0,14.25,270.75
copan,2005-05-22,0.0,14.75,271.25
comayagua,2005-05-23,0.0,14.25,272.25
ocotepeque,2005-05-23,0.0,14.25,270.75
copan,2005-05-23,0.0,14.75,271.25
comayagua,2005-05-24,0.234,14.25,272.25
ocotepeque,2005-05-24,1.334,14.25,270.75
copan,2005-05-24,6.744,14.75,271.25
comayagua,2005-05-25,0.0,14.25,272.25
ocotepeque,2005-05-25,0.0,14.25,270.75
copan,2005-05-25,0.0,14.75,271.25
comayagua,2005-05-26,14.712,14.25,272.25
ocotepeque,2005-05-26,0.554,14.25,270.75
copan,2005-05-26,5.099,14.75,271.25
comayagua,2005-05-27,4.62,14.25,272.25
ocotepeque,2005-05-27,5.359,14.25,270.75
copan,2005-05-27,8.704,14.75,271.25
comayagua,2005-05-28,0.108,14.25,272.25
ocotepeque,2005-05-28,0.0,14.25,270.75
copan,2005-05-28,0.0,14.75,271.25
comayagua,2005-05-29,0.148,14.25,272.25
ocotepeque,2005-05-29,35.45,14.25,270.75
copan,2005-05-29,1.591,14.75,271.25
comayagua,2005-05-30,0.335,14.25,272.25
ocotepeque,2005-05-30,7.384,14.25,270.75
copan,2005-05-30,0.794,14.75,271.25
comayagua,2005-05-31,0.0,14.25,272.25
ocotepeque,2005-05-31,0.0,14.25,270.75
copan,2005-05-31,0.0,14.75,271.25
comayagua,2005-06-01,0.679,14.25,272.25
ocotepeque,2005-06-01,0.0,14.25,270.75
copan,2005-06-01,0.0,14.75,271.25
comayagua,2005-06-02,16.997,14.25,272.25
ocotepeque,2005-06-02,0.855,14.25,270.75
copan,2005-06-02,2.919,14.75,271.25
comayagua,2005-06-03,4.991,14.25,272.25
ocotepeque,2005-06-03,0.577,14.25,270.75
copan,2005-06-03,2.015,14.75,271.25
comayagua,2005-06-04,2.283,14.25,272.25
ocotepeque,2005-06-04,2.835,14.25,270.75
copan,2005-06-04,1.787,14.75,271.25
comayagua,2005-06-05,1.963,14.25,272.25
ocotepeque,2005-06-05,0.192,14.25,270.75
copan,2005-06-05,1.399,14.75,271.25
comayagua,2005-06-06,7.444,14.25,272.25
ocotepeque,2005-06-06,3.998,14.25,270.75
copan,2005-06-06,0.454,14.75,271.25
comayagua,2005-06-07,36.565,14.25,272.25
ocotepeque,2005-06-07,21.695,14.25,270.75
copan,2005-06-07,13.375,14.75,271.25
comayagua,2005-06-08,1.477,14.25,272.25
ocotepeque,2005-06-08,43.925,14.25,270.75
copan,2005-06-08,2.506,14.75,271.25
comayagua,2005-06-09,0.528,14.25,272.25
ocotepeque,2005-06-09,34.407,14.25,270.75
copan,2005-06-09,1.814,14.75,271.25
comayagua,2005-06-10,0.358,14.25,272.25
ocotepeque,2005-06-10,0.032,14.25,270.75
copan,2005-06-10,0.031,14.75,271.25
comayagua,2005-06-11,2.708,14.25,272.25
ocotepeque,2005-06-11,0.427,14.25,270.75
copan,2005-06-11,0.036,14.75,271.25
comayagua,2005-06-12,0.867,14.25,272.25
ocotepeque,2005-06-12,0.065,14.25,270.75
copan,2005-06-12,0.032,14.75,271.25
comayagua,2005-06-13,0.0,14.25,272.25
ocotepeque,2005-06-13,0.0,14.25,270.75
copan,2005-06-13,0.0,14.75,271.25
comayagua,2005-06-14,4.654,14.25,272.25
ocotepeque,2005-06-14,2.664,14.25,270.75
copan,2005-06-14,15.5,14.75,271.25
comayagua,2005-06-15,3.095,14.25,272.25
ocotepeque,2005-06-15,1.014,14.25,270.75
copan,2005-06-15,5.254,14.75,271.25
comayagua,2005-06-16,0.57,14.25,272.25
ocotepeque,2005-06-16,0.105,14.25,270.75
copan,2005-06-16,0.198,14.75,271.25
comayagua,2005-06-17,0.02,14.25,272.25
ocotepeque,2005-06-17,0.0,14.25,270.75
copan,2005-06-17,0.074,14.75,271.25
comayagua,2005-06-18,0.838,14.25,272.25
ocotepeque,2005-06-18,1.966,14.25,270.75
copan,2005-06-18,0.238,14.75,271.25
comayagua,2005-06-19,0.316,14.25,272.25
ocotepeque,2005-06-19,21.741,14.25,270.75
copan,2005-06-19,1.157,14.75,271.25
comayagua,2005-06-20,20.294,14.25,272.25
ocotepeque,2005-06-20,26.526,14.25,270.75
copan,2005-06-20,1.681,14.75,271.25
comayagua,2005-06-21,1.013,14.25,272.25
ocotepeque,2005-06-21,14.146,14.25,270.75
copan,2005-06-21,0.707,14.75,271.25
comayagua,2005-06-22,40.931,14.25,272.25
ocotepeque,2005-06-22,17.492,14.25,270.75
copan,2005-06-22,18.852,14.75,271.25
comayagua,2005-06-23,0.844,14.25,272.25
ocotepeque,2005-06-23,40.317,14.25,270.75
copan,2005-06-23,2.694,14.75,271.25
comayagua,2005-06-24,27.199,14.25,272.25
ocotepeque,2005-06-24,11.929,14.25,270.75
copan,2005-06-24,26.917,14.75,271.25
comayagua,2005-06-25,6.215,14.25,272.25
ocotepeque,2005-06-25,2.648,14.25,270.75
copan,2005-06-25,3.654,14.75,271.25
comayagua,2005-06-26,32.167,14.25,272.25
ocotepeque,2005-06-26,4.08,14.25,270.75
