date,element,value,mflag,qflag,sflag
19820825,PRCP,1.0,,,I
19820826,PRCP,15.3,,,I
19820827,PRCP,1.0,,,I
19820828,PRCP,0.0,,,I
19820829,PRCP,0.0,,,I
19820830,PRCP,0.0,,,I
19820831,PRCP,5.0,,,I
19820901,PRCP,0.0,,,I
19820902,PRCP,0.0,,,I
19820903,PRCP,2.0,,,I
19820904,PRCP,0.0,,,I
19820905,PRCP,0.0,,,I
19820906,PRCP,0.7,,,I
19820907,PRCP,0.0,,,I
19820908,PRCP,0.0,,,I
19820909,PRCP,0.0,,,I
19820910,PRCP,2.3,,,I
19820911,PRCP,0.6,,,I
19820912,PRCP,9.7,,,I
19820913,PRCP,26.5,,,I
19820914,PRCP,6.4,,,I
19820915,PRCP,4.0,,,I
19820916,PRCP,0.6,,,I
19820917,PRCP,1.2,,,I
19820918,PRCP,0.0,,,I
19820919,PRCP,6.1,,,I
19820920,PRCP,19.8,,,I
19820921,PRCP,11.3,,,I
19820922,PRCP,12.3,,,I
19820923,PRCP,7.3,,,I
19820924,PRCP,7.0,,,I
19820925,PRCP,9.1,,,I
19820926,PRCP,15.0,,,I
19820927,PRCP,44.4,,,I
19820928,PRCP,6.0,,,I
19820929,PRCP,67.7,,,I
19820930,PRCP,29.0,,,I
19821001,PRCP,6.2,,,I
19821002,PRCP,3.4,,,I
19821003,PRCP,1.8,,,I
19821004,PRCP,0.1,,,I
19821005,PRCP,1.6,,,I
19821006,PRCP,2.8,,,I
19821007,PRCP,0.0,,,I
19821008,PRCP,11.2,,,I
19821009,PRCP,7.2,,,I
19821010,PRCP,4.5,,,I
19821011,PRCP,0.0,,,I
19821012,PRCP,0.0,,,I
19821013,PRCP,2.2,,,I
19821014,PRCP,4.7,,,I
19821015,PRCP,2.5,,,I
19821016,PRCP,2.8,,,I
19821017,PRCP,5.1,,,I
19821018,PRCP,0.0,,,I
19821019,PRCP,2.8,,,I
19821020,PRCP,0.1,,,I
19821021,PRCP,0.0,,,I
19821022,PRCP,0.0,,,I
19821023,PRCP,0.0,,,I
19821024,PRCP,0.0,,,I
19821025,PRCP,0.0,,,I
19821026,PRCP,0.0,,,I
19821027,PRCP,6.6,,,I
19821028,PRCP,0.7,,,I
19821029,PRCP,1.6,,,I
19821030,PRCP,1.0,,,I
19821031,PRCP,2.8,,,I
19821101,PRCP,2.9,,,I
19821102,PRCP,8.5,,,I
19821103,PRCP,9.4,,,I
19821104,PRCP,0.0,,,I
19821105,PRCP,16.3,,,I
19821106,PRCP,5.9,,,I
19821107,PRCP,0.0,,,I
19821108,PRCP,0.0,,,I
19821109,PRCP,0.0,,,I
19821110,PRCP,0.6,,,I
19821111,PRCP,0.0,,,I
19821112,PRCP,1.1,,,I
19821113,PRCP,0.0,,,I
19821114,PRCP,0.0,,,I
19821115,PRCP,0.0,,,I
19821116,PRCP,0.2,,,I
19821117,PRCP,1.8,,,I
19821118,PRCP,13.0,,,I
19821119,PRCP,1.6,,,I
19821120,PRCP,0.2,,,I
19821121,PRCP,0.0,,,I
19821122,PRCP,0.0,,,I
19821123,PRCP,0.0,,,I
19821124,PRCP,0.0,,,I
19821125,PRCP,0.4,,,I
19821126,PRCP,5.7,,,I
19821127,PRCP,1.5,,,I
19821128,PRCP,0.3,,,I
19821129,PRCP,0.5,,,I
19821130,PRCP,0.8,,,I
19821201,PRCP,11.3,,,I
19821202,PRCP,8.6,,,I
19821203,PRCP,0.0,,,I
19821204,PRCP,0.9,,,I
19821205,PRCP,0.8,,,I
19821206,PRCP,9.7,,,I
19821207,PRCP,1.1,,,I
19821208,PRCP,0.0,,,I
19821209,PRCP,0.0,,,I
19821210,PRCP,0.9,,,I
19821211,PRCP,0.0,,,I
19821212,PRCP,0.0,,,I
19821213,PRCP,0.0,,,I
19821214,PRCP,5.0,,,I
19821215,PRCP,0.0,,,I
19821216,PRCP,4.8,,,I
19821217,PRCP,5.3,,,I
19821218,PRCP,0.0,,,I
