item_code,item,element_code,element,months,unit,year,value,flag
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2014,17392950.000000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2015,18822530.000000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2017,24407720.000000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2018,25483699.000000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2019,22178377.000000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2020,21113117.000000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2021,19910551.200000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2022,21100343.600000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2023,24083251.100000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),March,LCU,2024,33553934.100000,A
656,"Coffee, green",5530,Producer Price (LCU/tonne),April,LCU,2012,16356980.000000,A
